关键字,"def"
新标识符,"sumyeah"
符号,"("
新标识符,"x"
符号,","
新标识符,"y"
符号,")"
符号,":"
换行,
缩进,4
新标识符,"z"
符号,"="
旧标识符,"x"
符号,"+"
旧标识符,"y"
换行,
缩进,4
关键字,"return"
旧标识符,"z"
换行,
换行,
换行,
换行,
数值,1
数值,1
换行,
换行,
新标识符,"numbers"
符号,"="
符号,"["
数值,1
符号,","
数值,1
符号,","
数值,0
符号,","
数值,0
符号,","
数值,0
符号,","
数值,0
符号,","
数值,0
符号,"]"
换行,
关键字,"for"
新标识符,"i"
关键字,"in"
关键字,"range"
符号,"("
数值,2
符号,","
数值,7
符号,")"
符号,":"
换行,
缩进,4
旧标识符,"numbers"
符号,"["
旧标识符,"i"
符号,"]"
符号,"="
旧标识符,"sumyeah"
符号,"("
旧标识符,"numbers"
符号,"["
旧标识符,"i"
符号,"-"
数值,1
符号,"]"
符号,","
旧标识符,"numbers"
符号,"["
旧标识符,"i"
符号,"-"
数值,2
符号,"]"
符号,")"
换行,
缩进,4
关键字,"if"
旧标识符,"numbers"
符号,"["
旧标识符,"i"
符号,"]"
符号,"=="
数值,3
符号,":"
换行,
缩进,8
旧标识符,"numbers"
符号,"["
旧标识符,"i"
符号,"]"
符号,"="
数值,1
换行,
关键字,"print"
符号,"("
旧标识符,"numbers"
符号,")"
换行,
